Classifiers,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRm,unkRM,unk
PSt,0.5106332,0.09688683,0.0,0.516383,0.56760234,,0.5306723,0.3724706,0.4970557,0.34718364,0.5691834,0.40176803,0.0,0.0,0
Classifiers,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRm,unkRM,unk
CC,0.47036338,0.07826591,0.0,0.030258918,0.5009606,,0.50670505,0.36461517,0.5064325,0.3617946,0.5071878,0.367794,0.0,0.0,0
Classifiers,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRm,unkRM,unk
HOMER,0.4924158,0.033122625,0.0,0.51138383,0.5409529,,0.51513803,0.3684172,0.49006614,0.35083976,0.54298365,0.38790077,0.0,0.0,0
Classifiers,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRm,unkRM,unk
CLR,0.5965608,0.077813394,0.0,0.61015177,0.6323103,,0.6139747,0.3943932,0.6013416,0.39181605,0.62723464,0.39705533,0.0,0.0,0
Classifiers,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRm,unkRM,unk
BPMLL,0.5957973,0.10805568,0.0,0.43749946,0.62094617,,0.6107514,0.38419113,0.6113354,0.38944566,0.6102465,0.37930116,0.0,0.0,0
Classifiers,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRm,unkRM,unk
MLkNN,0.60912925,0.12361723,0.0,0.6314185,0.6342277,,0.6237612,0.3915424,0.6235268,0.40342122,0.6241157,0.3803938,0.0,0.0,0
Classifiers,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRm,unkRM,unk
PSt,0.5106332,0.09688683,0.0,0.516383,0.56760234,,0.5306723,0.3724706,0.4970557,0.34718364,0.5691834,0.40176803,0.0,0.0,0
Classifiers,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRm,unkRM,unk
CC,0.47036338,0.07826591,0.0,0.030258918,0.5009606,,0.50670505,0.36461517,0.5064325,0.3617946,0.5071878,0.367794,0.0,0.0,0
Classifiers,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRm,unkRM,unk
HOMER,0.47511363,0.03673704,0.0,0.5050712,0.5020764,,0.49466592,0.35716844,0.4901641,0.352375,0.4993315,0.3622013,0.0,0.0,0
Classifiers,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRm,unkRM,unk
CLR,0.5965608,0.077813394,0.0,0.61015177,0.6323103,,0.6139747,0.3943932,0.6013416,0.39181605,0.62723464,0.39705533,0.0,0.0,0
Classifiers,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRm,unkRM,unk
BPMLL,0.58739924,0.08938545,0.0,0.619664,0.61454934,,0.602958,0.38187543,0.601051,0.38269556,0.6048917,0.38107467,0.0,0.0,0
Classifiers,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM,unkRm,unkRM,unk
MLkNN,0.60912925,0.12361723,0.0,0.6314185,0.6342277,,0.6237612,0.3915424,0.6235268,0.40342122,0.6241157,0.3803938,0.0,0.0,0
